duration               ,joint_1  ,joint_2   ,joint_3
3.0                    ,2.4      ,22.8      ,   62.4

### 왼손으로 머리 긁적이기
0.5                    ,2.545125 ,24.895535 ,   23.2
1.0                    ,2.545125 ,24.895535 ,   23.2

0.5                    ,2.4      ,22.8      ,   62.4
0.5                    ,2.545125 ,24.895535 ,   23.2
0.5                    ,2.4      ,22.8      ,   62.4
0.5                    ,2.545125 ,24.895535 ,   23.2
0.5                    ,2.4      ,22.8      ,   62.4
0.7                    ,2.545125 ,24.895535 ,   23.2

0.8                   ,2.545125 ,24.895535 ,   23.2

### 왼손으로 머리 긁적이기 끝 ###

### 허리 앞뒤로 움직이기
0.9, 0, 90,100
4.6, 0, 90,100
### 허리 앞뒤로 움직이기 끝 ###


1.5                   ,2.4      ,0     ,   0
1.5                   ,2.4      ,0     ,   0


2.0                    ,2.4      ,22.8      ,   62.4


